Echolink and D Star Net Listings,Send updates / corrections to wx1der@gmail.com ,,,,,,,,Updated: 10/31/24 at 3:00 pm EDT,,,Instructions ------->,
Net name,Mo,Tu,We,Th,Fr,Sa,Su,Eastern,UTC,Mode,Node,Comment,
1960’s Pop Rock Music/TV Show Net, , ,x, , , , ,9:30 PM,1:30 AM,Echolink,KA7LFX-R,1 Hr Earlier On STD Time,
1960’s Pop Rock Music/TV Show Net, ,x, , , , , ,9:30 PM,1:30 AM,Echolink,W7EI-L,1 Hr Earlier On STD Time,
2nd Cup Of Coffee Net,,x,,,x,,,10:00 AM,2:00 PM,D-Star,XRF458A,,
420 Ragchew Net, ,x,x,x,x,,,7:30 PM,11:30 PM,Echolink,*420*, ,
6A Saturday Morning D-Star Net,,,,,,x,,8:00 AM,12:00 PM,D-Star,6A,,
Absolute Tech Net,,x,,,,,,7:00 PM,12:00 AM,Echolink,* FIRESIDE *,,
"Adams County, IN Monday Night Net",x,,,,,,,8:00 PM,12:00 AM,Echolink,KB9KYM-R,,
AK Black Tie Net,,x,,,,,,11:30 PM,3:30 AM,D-Star,DCS327A,,
AL D-Star Net,,x,,,,,,9:30 PM,1:30 AM,D-Star,58B & D-Rats,alabama.ratflector.com,
AL Emergency D-Star Net,,,,,,,x,5:30 PM,9:30 PM,D-Star,58B,,
Alice’s Restaurant Net,,,x,,,,,5:30 PM,9:30 PM,D-Star,XRF458A,,
All Canada D-Star Net,,,,,x,,,9:00 PM,1:00 AM,D-Star,XRF038A,,
Amateur Astronomy Digital Voice Net,,,x,,,,,9:00 PM,1:00 AM,D-Star,XRF757A,See openquad.net,
Amateur Radio Club Net,,,,,,,x,9:00 PM,1:00 AM,Echolink,* GEORGIA *,,
Amateur Radio RV’er Net, ,,,,,,x,9:00 PM,1:00 AM,D-Star,XRF757A,,
Amateur Radio UFO’s Net,,,x,,x,,,7:00 PM,11:00 PM,Echolink,* ARUFON *, ,
American Legion D-Star Net,x,,,,,,,8:00 PM,12:00 AM,D-Star,56C,1st Mon Only,
AMRC Help Net,,,,x,,,,8:00 PM,12:00 AM,Echolink,W4BOC-R,,
Anger Management Net,,,,,,x,,10:00 AM,2:00 PM,Echolink,AA9JR-R,,
Anti-Viral Net ,x,x,x,x,x,x,x,8:30 PM,12:30 AM,Echolink,K9BAR-R,,
Anything Goes Net,,,x,,,,,10:00 AM,2:00 PM,D-Star,XRF458A,,
AR D-Star Net,,,,,,,x,9:30 PM,1:30 AM,D-Star,77A, ,
Arklatex D-Star Net,,x,,,,,,8:30 PM,12:30 AM,D-Star,48B,Backup: REF 73 B,
Australia Sat Morning D-Star Net,,,,,x,,,6:00 PM,10:00 PM,Echolink,VK2BGL-R,,
AZ D-Star Net,,,,,,x,,10:00 PM,2:00 AM,D-Star,9C,1 Hr Earlier On STD Time,
Baltimore/Washington D-Star Net,,,x,,,,,8:00 PM,12:00 AM,D-Star,62A, ,
Barometer Net,x,x,x,x,x,x, ,7:00 AM,11:00 AM,Echolink,W8WKY-R, , 
Blind Hams Saturday Digital Net,,,,,,x,,10:00 AM,2:00 PM,D-Star,DCS679A,,
Blind Hams Thursday Digital Net,,,,x,,,,8:00 PM,12:00 AM,D-Star,DCS679A,,
Breakfast Group Net,x,x,x,x,x, , ,9:00 AM,1:00 PM,Echolink,* K6FN *, ,
Breakfasters Net,x,x,x,x,x, , ,8:45 AM,12:45 PM,Echolink,N3TN-R, ,
Canada D-Star Net,,,,,x,,,9:00 PM,1:00 AM,D-Star,XRF038A,,
Caribbean Net,,x,,,,,,7:00 PM,11:00 PM,Echolink,* K7PB *,,
Central Health Care ARC Net,x,,,,,x,,8:00 PM,12:00 AM,Echolink,KK4BSK-R,,
Central MO Digital Group D-Star Net,,,  ,x,,,,8:30 PM,12:30 AM,D-Star,59A, ,
Central NY Swap Net,,,x,,,,,7:00 PM,11:00 PM,Echolink,W2QYT-R,,
CERT D-Star Net,,,,x,,,,9:30 PM,1:30 AM,D-Star,58A,,
Christian Amateur Radio Fellowship,,,,,,x,,2:00 PM,6:00 PM,Echolink,* CARF *,,
CNY Fireside Chat Net,x,,,,,,,7:00 PM,11:00 PM,Echolink,KD2SL-R,,
Coastal Carolina D-Star Net,,,,,,x,,7:30 PM,11:30 PM,D-Star,54C,,
Coffee Shop Net,,,x,,,,,7:00 PM,11:00 PM,Echolink,* K6FN *,,
D-Star HF Daytime Propagation Net, , , , , , ,x,10:00 AM,2:00 PM,D-Star,30C,See KQ4KK Page on QRZ,
D-Star HF Evening Propagation Net,,,,,,x,x,7:00 PM,11:00 PM,D-Star,30C,See KQ4KK Page on QRZ,
